calculated steering, timestamp, original steering
-0.290888,1584543204.216876,-0.14994
-0.290888,1584543204.314840,-0.14694
-0.232710,1584543204.414876,-0.128954
-0.145444,1584543204.515402,-0.128954
-0.145444,1584543204.615479,-0.128954
-0.290888,1584543204.716590,-0.0869637
-0.203622,1584543204.815300,-0
-0.116355,1584543204.914743,-0
-0.290888,1584543205.014674,-0
-0.290888,1584543205.115144,-0.203924
-0.290888,1584543205.216350,-0.22492
-0.261799,1584543205.314628,-0.18893
-0.290888,1584543205.414961,-0
-0.203622,1584543205.514628,-0
-0.174533,1584543205.615231,-0
-0.116355,1584543205.716541,0.143957
0.174533,1584543205.814545,0.098966
-0.116355,1584543205.914544,-0
-0.174533,1584543206.014652,-0
-0.116355,1584543206.114673,-0
0.087266,1584543206.216205,-0
0.116355,1584543206.314577,-0
0.145444,1584543206.414660,-0
0.000000,1584543206.514348,0.00900175
-0.058178,1584543206.615269,-0
-0.087266,1584543206.716049,0.00300058
-0.116355,1584543206.814354,0.131955
0.116355,1584543206.914460,0.119961
0.087266,1584543207.014281,0.0269964
0.029089,1584543207.114232,0.00600117
-0.029089,1584543207.216106,-0
-0.087266,1584543207.314220,-0
-0.116355,1584543207.414209,0.0329887
-0.145444,1584543207.514371,0.215927
-0.174533,1584543207.614867,-0
-0.232710,1584543207.719358,-0
-0.290888,1584543207.814532,-0
-0.290888,1584543207.914322,-0.236913
-0.290888,1584543208.014230,-0.257908
-0.261799,1584543208.114281,-0.227911
-0.290888,1584543208.215711,-0.221919
-0.290888,1584543208.314128,-0.200924
-0.261799,1584543208.414476,-0.179929
-0.058178,1584543208.514247,-0.158942
-0.290888,1584543208.614928,-0.116952
-0.174533,1584543208.715938,-0.0749702
-0.290888,1584543208.814242,-0.0329798
-0.261799,1584543208.914031,-0
-0.232710,1584543209.014119,-0
-0.203622,1584543209.114228,-0.0269875
-0.203622,1584543209.219230,-0.0809625
-0.203622,1584543209.316587,-0.0839631
-0.116355,1584543209.414331,-0.134946
-0.029089,1584543209.514123,-0.134946
-0.029089,1584543209.614674,-0.134946
-0.029089,1584543209.715934,-0.125954
-0.029089,1584543209.814030,-0
-0.261799,1584543209.914237,-0
-0.087266,1584543210.014049,-0
-0.261799,1584543210.114024,-0
-0.087266,1584543210.216034,-0
-0.116355,1584543210.313778,-0.00299171
-0.203622,1584543210.413910,-0
-0.116355,1584543210.514352,-0
-0.145444,1584543210.614384,-0
-0.174533,1584543210.715709,-0
-0.058178,1584543210.813902,-0
-0.029089,1584543210.914054,-0
-0.145444,1584543211.014074,-0
-0.116355,1584543211.114027,-0
-0.116355,1584543211.215890,-0
-0.116355,1584543211.313767,-0
-0.261799,1584543211.413817,-0
-0.232710,1584543211.513502,-0
-0.261799,1584543211.614194,-0.0269875
-0.232710,1584543211.715679,-0.0839631
-0.232710,1584543211.813542,-0.0899643
-0.203622,1584543211.913574,-0.0869637
-0.290888,1584543212.014064,-0.0869637
-0.261799,1584543212.113414,-0.0869637
-0.203622,1584543212.215670,-0.119952
-0.290888,1584543212.314462,-0.122953
-0.261799,1584543212.413403,-0.125954
-0.203622,1584543212.513698,-0.182929
-0.203622,1584543212.614208,-0.269902
-0.203622,1584543212.716100,-0.290888
-0.203622,1584543212.813596,-0.290888
-0.203622,1584543212.913546,-0.194923
-0.290888,1584543213.013474,-0.194923
-0.290888,1584543213.113176,-0.152941
-0.290888,1584543213.215946,-0
-0.203622,1584543213.313755,-0
0.058178,1584543213.413288,0.290888
0.145444,1584543213.513282,0.290888
0.203622,1584543213.616985,-0
-0.116355,1584543213.715311,-0
-0.203622,1584543213.813276,-0
-0.232710,1584543213.913092,-0.290888
-0.232710,1584543214.013346,-0
-0.174533,1584543214.113222,-0
-0.174533,1584543214.215261,-0
-0.145444,1584543214.312961,-0
-0.174533,1584543214.416009,-0
-0.145444,1584543214.513246,-0
-0.174533,1584543214.613881,-0
-0.232710,1584543214.715242,-0
-0.087266,1584543214.813419,-0
-0.087266,1584543214.913065,-0
-0.087266,1584543215.013088,0.0569845
-0.087266,1584543215.112796,0.0779797
-0.087266,1584543215.218993,-0
-0.232710,1584543215.313652,-0
-0.232710,1584543215.412783,-0
-0.087266,1584543215.512894,-0
-0.174533,1584543215.613764,-0.104958
-0.203622,1584543215.715025,-0
-0.145444,1584543215.812904,-0
-0.058178,1584543215.913228,-0
0.000000,1584543216.015444,-0
-0.058178,1584543216.115990,-0
-0.029089,1584543216.215873,-0
0.000000,1584543216.313782,-0
-0.029089,1584543216.412920,-0
-0.029089,1584543216.513472,-0
0.000000,1584543216.613798,-0
-0.058178,1584543216.715166,-0
-0.058178,1584543216.812652,-0
-0.058178,1584543216.912756,-0
-0.029089,1584543217.012529,-0
-0.058178,1584543217.112921,-0
-0.058178,1584543217.214694,-0
-0.087266,1584543217.312785,-0
-0.203622,1584543217.412822,-0
-0.232710,1584543217.512415,-0
-0.232710,1584543217.615826,-0.0179858
-0.232710,1584543217.714941,-0.0779708
-0.203622,1584543217.812656,-0.0809625
-0.145444,1584543217.912243,-0.14994
-0.058178,1584543218.012442,-0.14994
